Date, Open, High, Low, Close
06/12/20, 9715.87, 9768.64, 9413.63, 9588.81
06/11/20, 9791.24, 9868.08, 9491.31, 9492.73
06/10/20, 10012.32, 10086.89, 9962.58, 10020.35
06/09/20, 9867.19, 10002.50, 9863.27, 9953.75
06/08/20, 9823.44, 9927.13, 9780.61, 9924.74
06/05/20, 9703.54, 9845.69, 9685.35, 9814.08
06/04/20, 9649.65, 9716.14, 9560.41, 9615.81
06/03/20, 9651.86, 9707.78, 9627.18, 9682.91
06/02/20, 9566.53, 9611.22, 9472.09, 9608.37
06/01/20, 9471.42, 9571.28, 9462.32, 9552.05
05/29/20, 9382.35, 9505.55, 9324.73, 9489.87
05/28/20, 9392.99, 9523.65, 9345.28, 9368.99
05/27/20, 9346.12, 9414.62, 9144.28, 9412.36
05/26/20, 9501.21, 9501.21, 9333.16, 9340.22
05/22/20, 9278.55, 9328.28, 9239.41, 9324.59
05/21/20, 9375.19, 9405.25, 9254.85, 9284.88
05/20/20, 9305.62, 9392.82, 9304.20, 9375.78
05/19/20, 9227.46, 9317.25, 9183.25, 9185.10
05/18/20, 9177.15, 9267.22, 9154.35, 9234.83
05/15/20, 8839.99, 9018.40, 8821.38, 9014.56
05/14/20, 8788.04, 8945.72, 8705.25, 8943.72
05/13/20, 9006.05, 9074.16, 8752.68, 8863.17
05/12/20, 9225.15, 9250.96, 9000.07, 9002.55
05/11/20, 9054.91, 9241.92, 9053.18, 9192.34
05/08/20, 9056.89, 9125.98, 9018.21, 9121.32
05/07/20, 8973.78, 9015.99, 8932.85, 8979.66
05/06/20, 8874.70, 8933.25, 8819.37, 8854.39
05/05/20, 8809.66, 8909.97, 8781.31, 8809.12
05/04/20, 8555.32, 8715.82, 8537.83, 8710.71
05/01/20, 8681.29, 8754.46, 8566.84, 8604.95
04/30/20, 8911.01, 8926.10, 8825.84, 8889.55
04/29/20, 8802.70, 8957.27, 8765.01, 8914.71
04/28/20, 8825.68, 8830.57, 8600.70, 8607.73
04/27/20, 8717.98, 8754.57, 8697.37, 8730.16
04/24/20, 8530.08, 8642.93, 8464.43, 8634.52
04/23/20, 8528.84, 8635.22, 8475.20, 8494.75
04/22/20, 8434.55, 8537.31, 8404.54, 8495.38
04/21/20, 8460.69, 8480.29, 8215.69, 8263.23
04/20/20, 8553.38, 8684.91, 8553.38, 8560.73
04/17/20, 8667.48, 8670.31, 8531.69, 8650.14
04/16/20, 8479.11, 8560.16, 8393.27, 8532.36
04/15/20, 8355.96, 8464.66, 8308.79, 8393.18
04/14/20, 8353.21, 8531.11, 8338.09, 8515.74
04/13/20, 8127.69, 8200.44, 8035.94, 8192.42
04/09/20, 8169.01, 8227.91, 8072.32, 8153.58
04/08/20, 7975.72, 8114.43, 7901.94, 8090.90
04/07/20, 8129.99, 8146.43, 7881.22, 7887.26
04/06/20, 7660.17, 7938.33, 7617.78, 7913.24
04/03/20, 7477.27, 7518.72, 7288.11, 7373.08
04/02/20, 7317.45, 7501.70, 7307.94, 7487.31
04/01/20, 7459.50, 7566.37, 7301.98, 7360.58
